"STATISTIC","Statistic Label","C03514V04244","Electoral Division","TLIST(A1)","Year","UNIT","VALUE"
"IIA10","Median earned income per person working","02011","011 Ballygall A, Dublin City","2016","2016","Euro","21770"
"IIA10","Median earned income per person working","02012","012 Ballygall B, Dublin City","2016","2016","Euro","27820"
"IIA10","Median earned income per person working","02013","013 Ballygall C, Dublin City","2016","2016","Euro","37210"
"IIA10","Median earned income per person working","02014","014 Ballygall D, Dublin City","2016","2016","Euro","22410"
"IIA10","Median earned income per person working","02015","015 Ballymun A, Dublin City","2016","2016","Euro","27057"
"IIA10","Median earned income per person working","02016","016 Ballymun B, Dublin City","2016","2016","Euro","33288"
"IIA10","Median earned income per person working","02017","017 Ballymun C, Dublin City","2016","2016","Euro","34861"
"IIA10","Median earned income per person working","02018","018 Ballymun D, Dublin City","2016","2016","Euro","23115"
"IIA10","Median earned income per person working","02019","019 Ballymun E, Dublin City","2016","2016","Euro","26537"
"IIA10","Median earned income per person working","02020","020 Ballymun F, Dublin City","2016","2016","Euro","22255"
"IIA10","Median earned income per person working","02021","021 Beaumont A, Dublin City","2016","2016","Euro","19209"
"IIA10","Median earned income per person working","02022","022 Beaumont B, Dublin City","2016","2016","Euro","42533"
"IIA10","Median earned income per person working","02023","023 Beaumont C, Dublin City","2016","2016","Euro","24711"
"IIA10","Median earned income per person working","02024","024 Beaumont D, Dublin City","2016","2016","Euro","22854"
"IIA10","Median earned income per person working","02025","025 Beaumont E, Dublin City","2016","2016","Euro","20478"
"IIA10","Median earned income per person working","02026","026 Beaumont F, Dublin City","2016","2016","Euro","16640"
"IIA10","Median earned income per person working","02027","027 Botanic A, Dublin City","2016","2016","Euro","37240"
"IIA10","Median earned income per person working","02028","028 Botanic B, Dublin City","2016","2016","Euro","27226"
"IIA10","Median earned income per person working","02029","029 Botanic C, Dublin City","2016","2016","Euro","25300"
"IIA10","Median earned income per person working","02030","030 Cabra East A, Dublin City","2016","2016","Euro","31193"
"IIA10","Median earned income per person working","02031","031 Cabra East B, Dublin City","2016","2016","Euro","24719"
"IIA10","Median earned income per person working","02032","032 Cabra East C, Dublin City","2016","2016","Euro","33000"
"IIA10","Median earned income per person working","02033","033 Cabra West A, Dublin City","2016","2016","Euro","29803"
"IIA10","Median earned income per person working","02034","034 Cabra West B, Dublin City","2016","2016","Euro","30195"
"IIA10","Median earned income per person working","02035","035 Cabra West C, Dublin City","2016","2016","Euro","40280"
"IIA10","Median earned income per person working","02036","036 Cabra West D, Dublin City","2016","2016","Euro","37559"
"IIA10","Median earned income per person working","02037","037 Clontarf East A, Dublin City","2016","2016","Euro","29071"
"IIA10","Median earned income per person working","02038","038 Clontarf East B, Dublin City","2016","2016","Euro","28000"
"IIA10","Median earned income per person working","02039","039 Clontarf East C, Dublin City","2016","2016","Euro","32318"
"IIA10","Median earned income per person working","02040","040 Clontarf East D, Dublin City","2016","2016","Euro","23025"
"IIA10","Median earned income per person working","02041","041 Clontarf East E, Dublin City","2016","2016","Euro","21436"
"IIA10","Median earned income per person working","02042","042 Clontarf West A, Dublin City","2016","2016","Euro","28997"
"IIA10","Median earned income per person working","02043","043 Clontarf West B, Dublin City","2016","2016","Euro","32825"
"IIA10","Median earned income per person working","02044","044 Clontarf West C, Dublin City","2016","2016","Euro","28594"
"IIA10","Median earned income per person working","02045","045 Clontarf West D, Dublin City","2016","2016","Euro","27831"
"IIA10","Median earned income per person working","02046","046 Clontarf West E, Dublin City","2016","2016","Euro","21107"
"IIA10","Median earned income per person working","02047","047 Drumcondra South A, Dublin City","2016","2016","Euro","31333"
"IIA10","Median earned income per person working","02048","048 Drumcondra South B, Dublin City","2016","2016","Euro","33351"
"IIA10","Median earned income per person working","02049","049 Drumcondra South C, Dublin City","2016","2016","Euro","34819"
"IIA10","Median earned income per person working","02050","050 Edenmore, Dublin City","2016","2016","Euro","29225"
"IIA10","Median earned income per person working","02051","051 Finglas North A, Dublin City","2016","2016","Euro","32547"
