country,category,parameter,mode,powertrain,year,unit,value,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.00460000010207295,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.03400000184774399,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410,AUS,23111788,1086068031488,-2.022,-0.06,126.406,2.921,144.082,3.33,1.334,0.188,726.158,-5.091,-28.226,22769.414,526.242,6726.005,155.45,7.498,231.834,143811.594,3323.743,62.29,33.829,249.56,249.56,16.718,1.268,19.473,67307.039,1.432,0.383,5.548,9260.642,214.03,62923.895,1454.284,85.763,93.488,5.154,17.156,350.005,2281.087,52.72,15143.996,3.93,22.908,26210.252,605.766,21.125,22.5,181.22,12.051,5.314,52.025,825.985,19.09,2251.037,7.649,3.344,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,0,0,NA,0,0,0,0,0,0,0,2.96,16.618,578.037,253.55,5.86,25010.486,-16.869,-41.561,8861.653,204.809,2.348,37.159,10.635,3.332,NA,7.547,0.746,144.154,NA,460.156,1.335,NA,0.684,10797.952,1555.586,15.626,13.925,101.302,1537.311,35.53,4383.148,14.237,6.512,59.511,3.872,10.486,166.582,3.85,453.698,1.543,0.674,19.858,4.053,25.235,400.661,9.26,1091.852,3.711,1.622
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780,AUS,23469578,1113888129024,2.783,0.081,127.943,3.003,151.26,3.55,1.433,0.192,734.181,-0.827,-4.354,22236.803,521.888,6614.094,155.23,7.092,235.706,151662.266,3559.449,62.681,33.316,247.65,247.65,16.414,0.699,10.872,66744.195,1.406,1.287,18.71,9156.108,214.89,62761.852,1472.994,86.772,94.033,7.335,25.673,375.677,2286.364,53.66,16006.997,7.755,46.978,27812.354,652.744,21.668,23.983,181.82,-24.124,-12.787,39.239,616.969,14.48,1671.891,5.847,2.505,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,0,0,NA,0,0,0,0,0,0,0,-0.451,-2.609,575.428,255.65,6,24518.047,5.646,11.563,9219.25,216.372,2.423,36.734,11.32,3.546,NA,6.445,0.685,151.105,NA,482.343,1.432,NA,0.723,10551.958,1566.458,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,28.71,2.93,13.415,210.911,4.95,571.61,1.999,0.856,5.595,1.252,26.487,416.71,9.78,1128.561,3.949,1.691
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100,AUS,23469578,1113888129024,2.783,0.081,127.943,3.003,151.26,3.55,1.433,0.192,734.181,-0.827,-4.354,22236.803,521.888,6614.094,155.23,7.092,235.706,151662.266,3559.449,62.681,33.316,247.65,247.65,16.414,0.699,10.872,66744.195,1.406,1.287,18.71,9156.108,214.89,62761.852,1472.994,86.772,94.033,7.335,25.673,375.677,2286.364,53.66,16006.997,7.755,46.978,27812.354,652.744,21.668,23.983,181.82,-24.124,-12.787,39.239,616.969,14.48,1671.891,5.847,2.505,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,0,0,NA,0,0,0,0,0,0,0,-0.451,-2.609,575.428,255.65,6,24518.047,5.646,11.563,9219.25,216.372,2.423,36.734,11.32,3.546,NA,6.445,0.685,151.105,NA,482.343,1.432,NA,0.723,10551.958,1566.458,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,28.71,2.93,13.415,210.911,4.95,571.61,1.999,0.856,5.595,1.252,26.487,416.71,9.78,1128.561,3.949,1.691
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950,AUS,23469578,1113888129024,2.783,0.081,127.943,3.003,151.26,3.55,1.433,0.192,734.181,-0.827,-4.354,22236.803,521.888,6614.094,155.23,7.092,235.706,151662.266,3559.449,62.681,33.316,247.65,247.65,16.414,0.699,10.872,66744.195,1.406,1.287,18.71,9156.108,214.89,62761.852,1472.994,86.772,94.033,7.335,25.673,375.677,2286.364,53.66,16006.997,7.755,46.978,27812.354,652.744,21.668,23.983,181.82,-24.124,-12.787,39.239,616.969,14.48,1671.891,5.847,2.505,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,0,0,NA,0,0,0,0,0,0,0,-0.451,-2.609,575.428,255.65,6,24518.047,5.646,11.563,9219.25,216.372,2.423,36.734,11.32,3.546,NA,6.445,0.685,151.105,NA,482.343,1.432,NA,0.723,10551.958,1566.458,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,28.71,2.93,13.415,210.911,4.95,571.61,1.999,0.856,5.595,1.252,26.487,416.71,9.78,1128.561,3.949,1.691
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.1599999964237213,AUS,23469578,1113888129024,2.783,0.081,127.943,3.003,151.26,3.55,1.433,0.192,734.181,-0.827,-4.354,22236.803,521.888,6614.094,155.23,7.092,235.706,151662.266,3559.449,62.681,33.316,247.65,247.65,16.414,0.699,10.872,66744.195,1.406,1.287,18.71,9156.108,214.89,62761.852,1472.994,86.772,94.033,7.335,25.673,375.677,2286.364,53.66,16006.997,7.755,46.978,27812.354,652.744,21.668,23.983,181.82,-24.124,-12.787,39.239,616.969,14.48,1671.891,5.847,2.505,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,0,0,NA,0,0,0,0,0,0,0,-0.451,-2.609,575.428,255.65,6,24518.047,5.646,11.563,9219.25,216.372,2.423,36.734,11.32,3.546,NA,6.445,0.685,151.105,NA,482.343,1.432,NA,0.723,10551.958,1566.458,-6.987,-7.838,93.464,1395.849,32.76,3982.348,13.228,5.967,28.71,2.93,13.415,210.911,4.95,571.61,1.999,0.856,5.595,1.252,26.487,416.71,9.78,1128.561,3.949,1.691
